id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
12,Djibouti (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
12,Djibouti (Afrique),flashcard,,2,1,text,Djibouti,,
13,Égypte (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/egypte.webp,
13,Égypte (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
13,Égypte (Afrique),flashcard,,2,1,text,Égypte,,
14,Érythrée (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/erythree.webp,
14,Érythrée (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
14,Érythrée (Afrique),flashcard,,2,1,text,Érythrée,,
15,Eswatini (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/eswatini.webp,
15,Eswatini (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
15,Eswatini (Afrique),flashcard,,2,1,text,Eswatini,,
16,Éthiopie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/ethiopie.webp,
16,Éthiopie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
16,Éthiopie (Afrique),flashcard,,2,1,text,Éthiopie,,
17,Gabon (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/gabon.webp,
17,Gabon (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
17,Gabon (Afrique),flashcard,,2,1,text,Gabon,,
18,Gambie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/gambie.webp,
18,Gambie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
18,Gambie (Afrique),flashcard,,2,1,text,Gambie,,
19,Ghana (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/ghana.webp,
19,Ghana (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
19,Ghana (Afrique),flashcard,,2,1,text,Ghana,,
20,Guinée (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/guinee.webp,
20,Guinée (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
20,Guinée (Afrique),flashcard,,2,1,text,Guinée,,
21,Guinée équatoriale (Afrique),flashcard,,1,1,image,,,
21,Guinée équatoriale (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
21,Guinée équatoriale (Afrique),flashcard,,2,1,text,Guinée équatoriale,,
22,Guinée-Bissau (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/guinee-bissau.webp,
22,Guinée-Bissau (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
22,Guinée-Bissau (Afrique),flashcard,,2,1,text,Guinée-Bissau,,
23,Kenya (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/kenya.webp,
23,Kenya (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
23,Kenya (Afrique),flashcard,,2,1,text,Kenya,,
24,Lesotho (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/lesotho.webp,
24,Lesotho (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
24,Lesotho (Afrique),flashcard,,2,1,text,Lesotho,,
25,Liberia (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/liberia.webp,
25,Liberia (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
25,Liberia (Afrique),flashcard,,2,1,text,Liberia,,
26,Libye (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/libye.webp,
26,Libye (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
26,Libye (Afrique),flashcard,,2,1,text,Libye,,
27,Madagascar (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/madagascar.webp,
27,Madagascar (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
27,Madagascar (Afrique),flashcard,,2,1,text,Madagascar,,
28,Malawi (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/malawi.webp,
28,Malawi (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
28,Malawi (Afrique),flashcard,,2,1,text,Malawi,,
29,Mali (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/mali.webp,
29,Mali (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
29,Mali (Afrique),flashcard,,2,1,text,Mali,,
30,Maroc (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/maroc.webp,
30,Maroc (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
30,Maroc (Afrique),flashcard,,2,1,text,Maroc,,
31,Maurice (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/maurice.webp,
31,Maurice (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
31,Maurice (Afrique),flashcard,,2,1,text,Maurice,,
32,Mauritanie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/mauritanie.webp,
32,Mauritanie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
32,Mauritanie (Afrique),flashcard,,2,1,text,Mauritanie,,
33,Mozambique (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/mozambique.webp,
33,Mozambique (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
33,Mozambique (Afrique),flashcard,,2,1,text,Mozambique,,
34,Namibie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/namibie.webp,
34,Namibie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
34,Namibie (Afrique),flashcard,,2,1,text,Namibie,,
35,Niger (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/niger.webp,
35,Niger (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
35,Niger (Afrique),flashcard,,2,1,text,Niger,,
36,Nigeria (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/nigeria.webp,
36,Nigeria (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
36,Nigeria (Afrique),flashcard,,2,1,text,Nigeria,,
37,Ouganda (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/ouganda.webp,
37,Ouganda (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
37,Ouganda (Afrique),flashcard,,2,1,text,Ouganda,,
38,République centrafricaine (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/republique-centrafricaine.webp,
38,République centrafricaine (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
38,République centrafricaine (Afrique),flashcard,,2,1,text,République centrafricaine,,
39,République démocratique du Congo (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/republique-democratique-du-congo.webp,
39,République démocratique du Congo (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
39,République démocratique du Congo (Afrique),flashcard,,2,1,text,République démocratique du Congo,,
40,République du Congo (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/republique-du-congo.webp,
40,République du Congo (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
40,République du Congo (Afrique),flashcard,,2,1,text,République du Congo,,
41,Rwanda (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/rwanda.webp,
41,Rwanda (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
41,Rwanda (Afrique),flashcard,,2,1,text,Rwanda,,
42,Sao Tomé-et-Principe (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/sao-tome-et-principe.webp,
42,Sao Tomé-et-Principe (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
42,Sao Tomé-et-Principe (Afrique),flashcard,,2,1,text,Sao Tomé-et-Principe,,
43,Sénégal (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/senegal.webp,
43,Sénégal (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
43,Sénégal (Afrique),flashcard,,2,1,text,Sénégal,,
44,Seychelles (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/seychelles.webp,
44,Seychelles (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
44,Seychelles (Afrique),flashcard,,2,1,text,Seychelles,,
45,Sierra Leone (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/sierra-leone.webp,
45,Sierra Leone (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
45,Sierra Leone (Afrique),flashcard,,2,1,text,Sierra Leone,,
46,Somalie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/somalie.webp,
46,Somalie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
46,Somalie (Afrique),flashcard,,2,1,text,Somalie,,
47,Soudan (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/soudan.webp,
47,Soudan (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
47,Soudan (Afrique),flashcard,,2,1,text,Soudan,,
48,Soudan du Sud (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/soudan-du-sud.webp,
48,Soudan du Sud (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
48,Soudan du Sud (Afrique),flashcard,,2,1,text,Soudan du Sud,,
49,Tanzanie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/tanzanie.webp,
49,Tanzanie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
49,Tanzanie (Afrique),flashcard,,2,1,text,Tanzanie,,
50,Tchad (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/tchad.webp,
50,Tchad (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
50,Tchad (Afrique),flashcard,,2,1,text,Tchad,,
51,Togo (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/togo.webp,
51,Togo (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
51,Togo (Afrique),flashcard,,2,1,text,Togo,,
52,Tunisie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/tunisie.webp,
52,Tunisie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
52,Tunisie (Afrique),flashcard,,2,1,text,Tunisie,,
53,Zambie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/zambie.webp,
53,Zambie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
53,Zambie (Afrique),flashcard,,2,1,text,Zambie,,
54,Zimbabwe (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/zimbabwe.webp,
54,Zimbabwe (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
54,Zimbabwe (Afrique),flashcard,,2,1,text,Zimbabwe,,
