id,title,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,to_be_hidden,is_correct
13,Front 13 (Q113),,2,1,text,"<code class=""language-javascript"">document.querySelector(""div.content"")</code>",,,false
13,Front 13 (Q113),,2,2,text,"<code class=""language-javascript"">document.querySelector(""span.content"")</code>",,,true
13,Front 13 (Q113),,2,3,text,"<code class=""language-javascript"">document.querySelector("".content"")</code>",,,false
13,Front 13 (Q113),,2,4,text,"<code class=""language-javascript"">document.querySelector(""div.span"")</code>",,,false
14,Front 14 (Q133),,1,0,text,"<p>How would you add a data item named <code class=""language-javascript"">animal</code> with a value of <code class=""language-javascript"">sloth</code> to local storage for the current domain?</p>",,,
14,Front 14 (Q133),,2,1,text,"<code class=""language-javascript"">LocalStorage.setItem('animal', 'sloth');</code>",,,false
14,Front 14 (Q133),,2,2,text,"<code class=""language-javascript"">document.localStorage.setItem('animal', 'sloth');</code>",,,false
14,Front 14 (Q133),,2,3,text,"<code class=""language-javascript"">localStorage.setItem({ animal: 'sloth' });</code>",,,false
14,Front 14 (Q133),,2,4,text,"<code class=""language-javascript"">localStorage.setItem('animal','sloth');</code>",,,true
14,Front 14 (Q133),,3,0,text,"Resource(s):
- <a href=""https://blog.logrocket.com/localstorage-javascript-complete-guide/#setitem"" target=""_blank"" rel=""noopener noreferrer"">localStorage in JavaScript: A complete guide</a>.",,true,
15,Front 15 (Q138),,1,0,text,<p>Which document method is not used to get a reference to a DOM node?</p>,,,
15,Front 15 (Q138),,2,1,text,"<code class=""language-javascript"">document.getNode();</code>",,,true
15,Front 15 (Q138),,2,2,text,"<code class=""language-javascript"">document.getElementsByClassName();</code>",,,false
15,Front 15 (Q138),,2,3,text,"<code class=""language-javascript"">document.querySelectorAll();</code>",,,false
15,Front 15 (Q138),,2,4,text,"<code class=""language-javascript"">document.querySelector();</code>",,,false
16,Front 16 (Q146),,1,0,text,"<pre><code class=""language-html"">&lt;script type=""text/javascript""&gt;a = 5 + ""9"";
console.log(a);&lt;/script&gt;</code></pre>

<p>What will be the output of the previous code snippet?</p>",,,
16,Front 16 (Q146),,2,1,text,Compilation Error.,,,false
16,Front 16 (Q146),,2,2,text,"<code class=""language-javascript"">14</code>.",,,false
16,Front 16 (Q146),,2,3,text,Runtime Error.,,,false
16,Front 16 (Q146),,2,4,text,"<code class=""language-javascript"">59</code>.",,,true
16,Front 16 (Q146),,3,0,text,"Resource(s):
- <a href=""https://developer.mozilla.org/en-US/docs/Glossary/Type_coercion"" target=""_blank"" rel=""noopener noreferrer"">Type coercion</a>.",,true,
17,Front 17 (Q147),,1,0,text,Which of the following methods can be used to display data in some form using Javascript?,,,
17,Front 17 (Q147),,2,1,text,"<code class=""language-javascript"">document.write()</code>",,,false
17,Front 17 (Q147),,2,2,text,"<code class=""language-javascript"">console.log()</code>",,,false
17,Front 17 (Q147),,2,3,text,"<code class=""language-javascript"">window.alert()</code>",,,false
17,Front 17 (Q147),,2,4,text,All of the other solutions,,,true
17,Front 17 (Q147),,3,0,text,"<p>Note that using <code class=""language-javascript"">document.write(</code>) is <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Document/write"" target=""_blank"" rel=""noopener noreferrer"">discouraged</a>.</p>",,true,
18,Front 18 (Q149),,1,0,text,"Which statement is applicable to the <code class=""language-html"">defer</code> attribute of the HTML <code class=""language-html"">&lt;script&gt;</code> tag?",,,
18,Front 18 (Q149),,2,1,text,"<code class=""language-html"">defer</code> allows the browser to continue processing the page while the script loads in the background.",,,true
18,Front 18 (Q149),,2,2,text,"<code class=""language-html"">defer</code> causes the script to be loaded from the backup content delivery network (CDN).",,,false
18,Front 18 (Q149),,2,3,text,"<code class=""language-html"">defer</code> blocks the browser from processing HTML below the tag until the script is completely loaded.",,,false
18,Front 18 (Q149),,2,4,text,"<code class=""language-html"">defer</code> lazy loads the script, causing it to download only when it is called by another script on the page.",,,false
18,Front 18 (Q149),,3,0,text,"Resource(s):
- <a href=""https://javascript.info/script-async-defer"" target=""_blank"" rel=""noopener noreferrer"">Scripts: async, defer</a>.",,true,
19,Front 19 (Q154),,1,0,text,"<pre><code class=""language-html"">&lt;h2 id=""cleverest""&gt;girls&lt;/h2&gt;</code></pre>

<p>How would you change the color of this header to pink?</p>",,,
19,Front 19 (Q154),,2,1,text,"<code class=""language-javascript"">document.getElementByName(""cleverest"").style.color = ""pink"";</code>",,,false
19,Front 19 (Q154),,2,2,text,"<code class=""language-javascript"">document.getElementsByTagName(""h2"").style.color = ""pink"";</code>",,,false
19,Front 19 (Q154),,2,3,text,"<code class=""language-javascript"">document.getElementByName(""h2"").style.color = ""pink"";</code>",,,false
19,Front 19 (Q154),,2,4,text,"<code class=""language-javascript"">document.getElementById(""cleverest"").style.color = ""pink"";</code>",,,true
19,Front 19 (Q154),,3,0,text,"Resource(s):
- <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Document/getElementsByName"" target=""_blank"" rel=""noopener noreferrer"">Document: getElementsByName() method</a>.
- <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Element/getElementsByTagName"" target=""_blank"" rel=""noopener noreferrer"">Element: getElementsByTagName() method</a>. <code class=""language-javascript"">getElementsByTagName()</code> returns an HTMLCollection. Note that the answer <code class=""language-javascript"">document.getElementsByTagName(""h2"")[0].style.color = ""pink"";</code> would have been OK.
- <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Document/getElementById"" target=""_blank"" rel=""noopener noreferrer"">Document: getElementById() method</a>.",,true,
